feature,mean_abs_shap,algo,regime,seed,source_file
s_12,0.7358681712940646,sarsa,safe,1,shap_sarsa_safe_seed=1.csv
s_5,0.6420447783088469,sarsa,safe,2,shap_sarsa_safe_seed=2.csv
s_12,0.5188754266420773,sarsa,safe,0,shap_sarsa_safe_seed=0.csv
s_11,0.5114244746910953,sarsa,safe,1,shap_sarsa_safe_seed=1.csv
s_6,0.5068562561560293,sarsa,safe,2,shap_sarsa_safe_seed=2.csv
s_13,0.488734312490567,sarsa,safe,0,shap_sarsa_safe_seed=0.csv
s_7,0.4079807918354272,sarsa,safe,2,shap_sarsa_safe_seed=2.csv
s_16,0.3634201962665736,sarsa,safe,2,shap_sarsa_safe_seed=2.csv
s_0,0.3412951522827166,sarsa,safe,2,shap_sarsa_safe_seed=2.csv
s_6,0.3017019608047432,sarsa,safe,1,shap_sarsa_safe_seed=1.csv
s_13,1.1265238280223095,sarsa,unconstrained,2,shap_sarsa_unconstrained_seed=2.csv
s_12,0.8838336205666013,sarsa,unconstrained,2,shap_sarsa_unconstrained_seed=2.csv
s_6,0.8284024967160666,sarsa,unconstrained,0,shap_sarsa_unconstrained_seed=0.csv
s_5,0.5870260940864537,sarsa,unconstrained,0,shap_sarsa_unconstrained_seed=0.csv
s_16,0.5096553159974875,sarsa,unconstrained,0,shap_sarsa_unconstrained_seed=0.csv
s_7,0.3656267281684418,sarsa,unconstrained,0,shap_sarsa_unconstrained_seed=0.csv
s_1,0.3497623264550025,sarsa,unconstrained,0,shap_sarsa_unconstrained_seed=0.csv
s_0,0.3338527691291639,sarsa,unconstrained,0,shap_sarsa_unconstrained_seed=0.csv
s_2,0.3011733680205266,sarsa,unconstrained,2,shap_sarsa_unconstrained_seed=2.csv
s_6,0.2031919229407396,sarsa,unconstrained,2,shap_sarsa_unconstrained_seed=2.csv
