feature,mean_abs_shap,algo,regime,seed,source_file
tyre_compound_1,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
tyre_compound_2,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
tyre_compound_3,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
tyre_compound_4,0.0,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
risk_indicator,0.3898678411703427,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
pit_count_norm,0.0282404590247889,dqn,unconstrained,1,shap_dqn_unconstrained_seed=1.csv
lap_fraction,0.6306963147814928,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
race_time_norm,0.4436688131884374,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
pos_norm,0.3867355382681089,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
gap_ahead,0.0,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
gap_behind,0.0,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
tyre_age_norm,0.2403075629340444,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
tyre_wear,0.2966501680579321,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
fuel_norm,0.6140023822569797,dqn,unconstrained,2,shap_dqn_unconstrained_seed=2.csv
