Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,TrackStatus,IsAccurate
GAS,33.0,0 days 00:01:45.205000,0 days 00:00:32.758000,0 days 00:00:43.464000,0 days 00:00:28.983000,INTERMEDIATE,22.0,True,2.0,1,True
GAS,34.0,0 days 00:01:44.227000,0 days 00:00:32.636000,0 days 00:00:43.190000,0 days 00:00:28.401000,INTERMEDIATE,23.0,True,2.0,1,True
GAS,35.0,0 days 00:01:42.768000,0 days 00:00:32.404000,0 days 00:00:42.301000,0 days 00:00:28.063000,INTERMEDIATE,24.0,True,2.0,1,True
GAS,36.0,0 days 00:01:42.420000,0 days 00:00:32.278000,0 days 00:00:42.114000,0 days 00:00:28.028000,INTERMEDIATE,25.0,True,2.0,1,True
GAS,37.0,0 days 00:01:41.825000,0 days 00:00:32.184000,0 days 00:00:41.807000,0 days 00:00:27.834000,INTERMEDIATE,26.0,True,2.0,1,True
GAS,38.0,0 days 00:01:42.926000,0 days 00:00:32.458000,0 days 00:00:42.461000,0 days 00:00:28.007000,INTERMEDIATE,27.0,True,2.0,1,True
GAS,39.0,0 days 00:01:41.869000,0 days 00:00:32.366000,0 days 00:00:41.928000,0 days 00:00:27.575000,INTERMEDIATE,28.0,True,2.0,12,True
GAS,40.0,0 days 00:01:42.307000,0 days 00:00:32.307000,0 days 00:00:42.216000,0 days 00:00:27.784000,INTERMEDIATE,29.0,True,2.0,21,True
GAS,43.0,0 days 00:01:38.760000,0 days 00:00:31.632000,0 days 00:00:41.012000,0 days 00:00:26.116000,MEDIUM,2.0,True,3.0,12,True
GAS,44.0,0 days 00:01:35.699000,0 days 00:00:30.857000,0 days 00:00:39.405000,0 days 00:00:25.437000,MEDIUM,3.0,True,3.0,21,True
GAS,45.0,0 days 00:01:33.758000,0 days 00:00:30.363000,0 days 00:00:38.518000,0 days 00:00:24.877000,MEDIUM,4.0,True,3.0,1,True
GAS,46.0,0 days 00:01:32.701000,0 days 00:00:29.897000,0 days 00:00:37.893000,0 days 00:00:24.911000,MEDIUM,5.0,True,3.0,1,True
GAS,47.0,0 days 00:01:31.824000,0 days 00:00:29.601000,0 days 00:00:37.348000,0 days 00:00:24.875000,MEDIUM,6.0,True,3.0,1,True
GAS,48.0,0 days 00:01:30.751000,0 days 00:00:29.327000,0 days 00:00:36.778000,0 days 00:00:24.646000,MEDIUM,7.0,True,3.0,1,True
GAS,49.0,0 days 00:01:30.759000,0 days 00:00:29.209000,0 days 00:00:36.861000,0 days 00:00:24.689000,MEDIUM,8.0,True,3.0,1,True
GAS,50.0,0 days 00:01:31.002000,0 days 00:00:29.406000,0 days 00:00:36.976000,0 days 00:00:24.620000,MEDIUM,9.0,True,3.0,1,True
GAS,51.0,0 days 00:01:31.465000,0 days 00:00:29.447000,0 days 00:00:37.356000,0 days 00:00:24.662000,MEDIUM,10.0,True,3.0,1,True
GAS,52.0,0 days 00:01:31.884000,0 days 00:00:29.149000,0 days 00:00:37.885000,0 days 00:00:24.850000,MEDIUM,11.0,True,3.0,1,True
ANT,8.0,0 days 00:01:45.576000,0 days 00:00:33.574000,0 days 00:00:39.634000,0 days 00:00:32.368000,HARD,6.0,True,2.0,1,True
ANT,11.0,0 days 00:01:48.439000,0 days 00:00:33.719000,0 days 00:00:44.749000,0 days 00:00:29.971000,INTERMEDIATE,2.0,True,3.0,1,True
ANT,12.0,0 days 00:01:47.009000,0 days 00:00:33.207000,0 days 00:00:44.121000,0 days 00:00:29.681000,INTERMEDIATE,3.0,True,3.0,1,True
ANT,22.0,0 days 00:01:55.501000,0 days 00:00:36.270000,0 days 00:00:48.886000,0 days 00:00:30.345000,INTERMEDIATE,2.0,True,4.0,12,True
ALO,8.0,0 days 00:01:46.420000,0 days 00:00:32.453000,0 days 00:00:43.657000,0 days 00:00:30.310000,INTERMEDIATE,8.0,True,1.0,1,True
ALO,9.0,0 days 00:01:47.569000,0 days 00:00:32.757000,0 days 00:00:44.149000,0 days 00:00:30.663000,INTERMEDIATE,9.0,True,1.0,1,True
ALO,10.0,0 days 00:01:48.951000,0 days 00:00:33.111000,0 days 00:00:45.151000,0 days 00:00:30.689000,INTERMEDIATE,10.0,True,1.0,1,True
ALO,22.0,0 days 00:01:50.388000,0 days 00:00:35.567000,0 days 00:00:45.750000,0 days 00:00:29.071000,INTERMEDIATE,11.0,True,2.0,12,True
ALO,23.0,0 days 00:01:46.209000,0 days 00:00:33.313000,0 days 00:00:44.092000,0 days 00:00:28.804000,INTERMEDIATE,12.0,True,2.0,1,True
ALO,24.0,0 days 00:01:44.879000,0 days 00:00:32.587000,0 days 00:00:43.913000,0 days 00:00:28.379000,INTERMEDIATE,13.0,True,2.0,1,True
ALO,25.0,0 days 00:01:44.158000,0 days 00:00:32.273000,0 days 00:00:43.318000,0 days 00:00:28.567000,INTERMEDIATE,14.0,True,2.0,1,True
ALO,26.0,0 days 00:01:43.977000,0 days 00:00:32.391000,0 days 00:00:43.039000,0 days 00:00:28.547000,INTERMEDIATE,15.0,True,2.0,1,True
ALO,27.0,0 days 00:01:43.527000,0 days 00:00:32.256000,0 days 00:00:43.013000,0 days 00:00:28.258000,INTERMEDIATE,16.0,True,2.0,1,True
ALO,28.0,0 days 00:01:43.779000,0 days 00:00:32.306000,0 days 00:00:42.843000,0 days 00:00:28.630000,INTERMEDIATE,17.0,True,2.0,1,True
ALO,29.0,0 days 00:01:43.763000,0 days 00:00:32.545000,0 days 00:00:42.793000,0 days 00:00:28.425000,INTERMEDIATE,18.0,True,2.0,1,True
ALO,30.0,0 days 00:01:44.281000,0 days 00:00:32.517000,0 days 00:00:43.086000,0 days 00:00:28.678000,INTERMEDIATE,19.0,True,2.0,1,True
ALO,31.0,0 days 00:01:44.625000,0 days 00:00:32.604000,0 days 00:00:43.226000,0 days 00:00:28.795000,INTERMEDIATE,20.0,True,2.0,1,True
ALO,32.0,0 days 00:01:44.587000,0 days 00:00:32.507000,0 days 00:00:43.420000,0 days 00:00:28.660000,INTERMEDIATE,21.0,True,2.0,1,True
ALO,33.0,0 days 00:01:44.331000,0 days 00:00:32.420000,0 days 00:00:43.258000,0 days 00:00:28.653000,INTERMEDIATE,22.0,True,2.0,1,True
ALO,34.0,0 days 00:01:44.712000,0 days 00:00:32.634000,0 days 00:00:43.607000,0 days 00:00:28.471000,INTERMEDIATE,23.0,True,2.0,1,True
ALO,35.0,0 days 00:01:43.238000,0 days 00:00:32.243000,0 days 00:00:42.791000,0 days 00:00:28.204000,INTERMEDIATE,24.0,True,2.0,1,True
ALO,36.0,0 days 00:01:42.516000,0 days 00:00:31.861000,0 days 00:00:42.626000,0 days 00:00:28.029000,INTERMEDIATE,25.0,True,2.0,1,True
ALO,39.0,0 days 00:01:47.666000,0 days 00:00:34.120000,0 days 00:00:45.345000,0 days 00:00:28.201000,MEDIUM,3.0,False,3.0,12,True
ALO,40.0,0 days 00:01:42.659000,0 days 00:00:33.110000,0 days 00:00:42.384000,0 days 00:00:27.165000,MEDIUM,4.0,False,3.0,1,True
ALO,41.0,0 days 00:01:40.670000,0 days 00:00:32.157000,0 days 00:00:42.145000,0 days 00:00:26.368000,MEDIUM,5.0,False,3.0,1,True
ALO,42.0,0 days 00:01:39.415000,0 days 00:00:31.305000,0 days 00:00:41.001000,0 days 00:00:27.109000,MEDIUM,6.0,False,3.0,12,True
ALO,43.0,0 days 00:01:37.153000,0 days 00:00:30.684000,0 days 00:00:40.824000,0 days 00:00:25.645000,MEDIUM,7.0,False,3.0,12,True
ALO,44.0,0 days 00:01:33.635000,0 days 00:00:30.306000,0 days 00:00:38.540000,0 days 00:00:24.789000,MEDIUM,8.0,False,3.0,1,True
ALO,45.0,0 days 00:01:33.119000,0 days 00:00:29.936000,0 days 00:00:38.141000,0 days 00:00:25.042000,MEDIUM,9.0,False,3.0,1,True
ALO,46.0,0 days 00:01:32.400000,0 days 00:00:29.843000,0 days 00:00:37.713000,0 days 00:00:24.844000,MEDIUM,10.0,False,3.0,1,True
ALO,47.0,0 days 00:01:31.386000,0 days 00:00:29.259000,0 days 00:00:37.367000,0 days 00:00:24.760000,MEDIUM,11.0,False,3.0,1,True
ALO,48.0,0 days 00:01:30.669000,0 days 00:00:29.114000,0 days 00:00:36.968000,0 days 00:00:24.587000,MEDIUM,12.0,False,3.0,1,True
ALO,49.0,0 days 00:01:30.353000,0 days 00:00:29.047000,0 days 00:00:36.638000,0 days 00:00:24.668000,MEDIUM,13.0,False,3.0,1,True
ALO,50.0,0 days 00:01:30.943000,0 days 00:00:29.173000,0 days 00:00:37.039000,0 days 00:00:24.731000,MEDIUM,14.0,False,3.0,1,True
ALO,51.0,0 days 00:01:30.578000,0 days 00:00:29.142000,0 days 00:00:36.740000,0 days 00:00:24.696000,MEDIUM,15.0,False,3.0,1,True
ALO,52.0,0 days 00:01:32.745000,0 days 00:00:29.310000,0 days 00:00:38.607000,0 days 00:00:24.828000,MEDIUM,16.0,False,3.0,1,True
LEC,4.0,0 days 00:01:52.993000,0 days 00:00:37.560000,0 days 00:00:42.616000,0 days 00:00:32.817000,MEDIUM,4.0,True,1.0,12,True
LEC,8.0,0 days 00:01:44.730000,0 days 00:00:32.950000,0 days 00:00:39.590000,0 days 00:00:32.190000,MEDIUM,8.0,True,1.0,1,True
